fila_excel;sku_en_excel;sku_asignado;producto;producto_que_ya_tenia_ese_sku
1872;6500;7000;TUERCA DE ELICE VENTILADOR;TORNILLO DRYWALL GALV 8 X 1"
1873;6501;7001;TUERCA DE VENTILADOR;TORNILLO DRYWALL GALV 8 X 2"
1874;6502;7002;TUERCA G5 R.O 1/4";TORNILLO DRYWALL GALV 8 X 3/4"
1875;6503;7003;TUERCA G5 R.O 3/8";TORNILLO DRYWALL MASSO 8 X 2 1/2"
1876;6504;7004;TUERCA G5 R.O 5/16";TORNILLO DRYWALL MASSO 10 X 1-1/2"
1877;6505;7005;TUERCA GALV 1/2";TORNILLO DRYWALL MASSO 10 X 2"
1878;6506;7006;TUERCA GALV 1/4";TORNILLO DRYWALL MASSO 10 X 2-1/2"
1879;6507;7007;TUERCA GALV 1/8";TORNILLO ENSAMBLE 6 X 1"
1880;6508;7008;TUERCA GALV 3/8";TORNILLO ENSAMBLE 6 X 2"
1881;6509;7009;TUERCA GALV 3/16";TORNILLO ENSAMBLE 8 X 1-1/2"
1882;6510;7010;TUERCA GALV 5/16";TORNILLO ESTUFA C/R GALV 1/8 X 1"
1883;6511;7011;TUERCA GALV 5/32";TORNILLO ESTUFA C/R GALV 1/8 X 1/2"
1884;6512;7012;TUERCA GALV 7/16";TORNILLO ESTUFA C/R GALV 1/8 X 1-1/2"
1885;6513;7013;TUERCA MARIPOSA R.O 1/4";TORNILLO ESTUFA C/R GALV 1/8 X 2"
1886;6514;7014;TUERCA MARIPOSA R.O 3/16";TORNILLO ESTUFA C/R GALV 3/16 X 1"
1887;6515;7015;TUERCA MARIPOSA R.O 5/16";TORNILLO ESTUFA C/R GALV 3/16 X 1/2"
1888;6516;7016;TUERCA SEG 4 MM;TORNILLO ESTUFA C/R GALV 3/16 X 1-1/2"
1889;6517;7017;TUERCA SEG 5 MM;TORNILLO ESTUFA C/R GALV 3/16 X 2"
1890;6518;7018;TUERCA SEG 6 MM;TORNILLO ESTUFA C/R GALV 5/32 X 1/2"
1891;6519;7019;TUERCA SEG 8 MM;TORNILLO ESTUFA C/R GALV 5/32 X 1"
1892;6520;7020;TUERCA SEG R.O 1/4";TORNILLO ESTUFA C/R GALV 5/32 X 1-1/2"
1893;6521;7021;TUERCA SEG R.O 3/8";TORNILLO ESTUFA C/R GALV 5/32 X 2"
1894;6522;7022;TUERCA SEG R.O 5/16";TORNILLO EXTRAPLANO PUNTA BROCA MASSO 8 X 1"
1895;6523;7023;TUERCA TROPIC 6 MM;TORNILLO FRAMING PAV PUNTA AGUDA 7 X 7/16"
1896;6524;7024;TUERCA TROPIC 8 MM;TORNILLO G5 R.O 1/4 X 1/2"
1897;6525;7025;TUERCA COBRE 1/4";TORNILLO G5 R.O 1/4 X 1"
1898;6526;7026;TUERCA COBRE 5/16";TORNILLO G5 R.O 1/4 X 2"
1899;6527;7027;TUERCA COBRE 1/2";TORNILLO G5 R.O 1/4 X 3"
1900;6600;7028;UNION COAXIAL;TORNILLO TANQUE SANITARIO PAR
1901;6601;7029;UNION DOBLE ROSCA PVC 1/2";TORNILLO TENSOR 5/16"
1902;6602;7030;UNION GALVANIZADA 1/2";TORNILLO TIRAFONDO 1/4 X 1-1/2"
1903;6603;7031;UNION GERFOR PSI 1/2;TORNILLO TIRAFONDO 1/4 X 2"
1904;6604;7032;UNION MANGUERA;TORNILLO AUTOPERFORANTE AJOVER P/MADERA 2"
1931;6700;7033;CHEQUE HORIZONTAL 1/2";CURVA CONDUIT 1"
1932;6701;7034;CHEQUE HORIZONTAL 1";CURVA CONDUIT 1/2" CORTA
1933;6702;7035;CHEQUE HORIZONTAL 1" ECO;CURVA CONDUIT 1/2" LARGA
1934;6703;7036;CHEQUE HORIZONTAL 3/4";CURVA ELECTRICA SEMIPESADA 3/4 CORTA
1935;6704;7037;CHEQUE TANQUE ALTO DE 1/2" KIT BRONCE;CURVA PESADA 1"
1936;6705;7038;FLOTADOR ELECTRICO CON PESA TANQUE;CURVA PESADA 3/4"
1937;6706;7039;VALVULA BOLA 1/2" LISA ATLANTIS;COLLAR DERIVACION 2 X 1/2"
1938;6707;7040;VALVULA BOLA 1/2" LISA ECO;GALILLO CONDUIT FLEXIBLE 1/2 X M
1939;6708;7041;VALVULA BOLA 1" LISA ECO;INSERTO MANGUERA POLITILENO A PVC 1/2"
1940;6709;7042;VALVULA BOLA 3/4" DN20;INSERTO PVC HEMBRA 1 PARA RIEGO 1-1/4"
1941;6710;7043;VALVULA BOLA 3/4" LISA ECO;INSERTO PVC HEMBRA 1/2 PARA RIEGO 3/4"
1942;6711;7044;VALVULA BOLA METALICA 1/2";INSERTO PVC HEMBRA 3/4 PARA RIEGO 1"
1943;6712;7045;VALVULA BOLA METALICA 1";REDUCCION PSI DE 3/4 1/2"
1944;6713;7046;VALVULA CHILENA GP GF D 0.58 INY SEMIR 0,60MM;TUBO ABBA 2 PUESTOS CORTO
1945;6714;7047;VALVULA CUB GV RAP GN (20) CODO;TUBO ABBA 4 PUESTOS CON CHAPETA
1946;6715;7048;VALVULA ENTRADA AJUSTABLE TIPO GRIVAL;TUBO ABBA 4 PUESTOS LARGO
1947;6716;7049;VALVULA ENTRADA BLANCA (BOLSA);TUBO AMARILLO 1-1/2" LIVIANO ORIGINAL X 6M
1948;6717;7050;VALVULA FLOTADOR TANQUE ALTO;TUBO AMARILLO 1-1/2" LIVIANO ORIGINAL X M
1949;6718;7051;VALVULA FONDO BRONCE 1" CANASTILLA;TUBO AMARILLO 1-1/2" SEMIPESADO X 6M
1950;6719;7052;VALVULA FONDO BRONCE 1-1/2" CANASTILLA;TUBO AMARILLO 1-1/2" SEMIPESADO X M
1951;6720;7053;VALVULA FONDO BRONCE 2" CANASTILLA;TUBO AMARILLO 2" LIVIANO ORIGINAL X 6M
1952;6721;7054;VALVULA FONDO PVC 2";TUBO AMARILLO 2" LIVIANO ORIGINAL X M
1953;6722;7055;VALVULA GAS PN 40;TUBO AMARILLO 2" SEMIPESADO X 6M
